9002,1003,3001,20001,20005,3002,20006,9001,20006,3006,1002,3004,1004,5001,20005,8001,9004,20006,8004,4005,6001,3005,1003,5003
1005,1001,4005,1001,1005,1001,20003,8003,4003,20005,8004,1003,5003,9002,20005,3006,1005,5001,20002,8004,1004,5001,30001,1003
4005,1005,1003,1003,8004,3007,3002,20007,1002,7002,4005,4003,20001,1001,30001,6001,3005,8001,1002,8005,6001,3007,20005,4004
9002,9001,3007,6001,8005,4005,20002,8001,3005,1001,20001,20004,20002,20004,20002,2001,1004,2001,5001,20003,4004,30001,3002,4004
8002,3003,5001,3007,2001,4001,1002,8001,20005,4005,4005,1005,9004,20006,3001,20002,4002,30001,8005,4005,4004,1005,8005,4004
1003,3003,20001,20003,3006,8004,5003,20007,1002,9002,1002,5002,5002,6003,5002,20004,20007,2002,8002,20005,9001,4001,8001,8005
3004,1003,1001,3004,5002,8001,5003,1003,2002,2001,5003,20005,2003,6002,20001,20004,2001,2004,3007,20006,8005,3002,3002,9001
3007,1003,1004,9001,3007,1001,5003,1005,20001,4005,20004,5001,7003,5002,4003,8005,2004,6002,5003,8005,0,20007,20005,3002
4003,9002,20007,20007,20007,4005,8004,4003,20006,3006,20001,5001,6004,30001,20007,20006,20002,20003,8004,3002,20005,3005,4004,1004
4005,1001,1003,5003,20002,8005,1005,6001,4002,0,20007,4003,9004,5002,1003,3001,20007,20003,1004,20005,9001,2001,2001,6001
20006,20005,30001,2001,5002,1003,8004,9001,1001,6001,1003,8003,20007,20002,2002,2005,20003,8005,3007,1002,20007,5003,0,5003
3002,1001,9001,1004,4005,6001,20007,20006,3004,4005,30001,6001,9002,2005,20001,20002,5001,20003,1003,4005,6001,1002,20004,8005
2001,3001,3006,5001,3007,1005,8003,20003,20002,8004,8005,20007,6001,9002,1005,1001,9001,4005,5003,4005,5003,4005,1004,20005
1005,30001,6001,1001,8003,8005,20001,20001,20003,20004,20003,1004,2002,1004,6002,3006,8004,30001,3002,3007,3002,9001,20002,6002
3007,5001,6002,20002,2001,4001,20003,20002,5003,4004,30001,0,5002,8003,6001,8003,2001,8003,6001,20005,4005,1004,1002,3007
8003,3003,6001,20003,2002,20002,1005,3004,0,20003,20002,3004,5001,8003,20007,9002,3002,9003,20007,4001,3005,8005,20005,8002
2001,8005,20006,3004,20003,8005,3004,5002,4001,5003,20004,1001,2002,3007,20004,1004,8001,2003,3007,3002,1002,2001,20002,3003
4001,3005,1004,4003,4001,20003,3005,4003,9001,3004,9001,3006,20003,5001,20004,5003,20007,20002,9002,5003,1004,4001,20005,3005
9001,20005,3003,7002,20004,1005,5003,6002,2002,4003,1004,4003,1004,1001,8004,6005,6001,9004,8004,20005,3007,1001,20005,1003
20003,8005,4004,5003,1001,4005,20003,4002,5003,1004,20007,20003,9002,20003,7001,20004,20006,5001,20006,3007,1004,1001,1004,20006
3003,3007,20001,8001,3002,8004,9001,4005,20006,20007,20002,1005,20002,6001,20006,4005,3006,30001,4001,1003,6001,1004,1001,4001
5001,1005,9001,20004,20007,20003,1002,4005,30001,8004,2001,3001,20007,30001,5001,9003,5001,8003,30001,1004,8002,4005,3004,3005
8002,6001,1004,20005,3003,1005,6001,8003,7002,3003,4003,0,9004,9003,3001,1001,1005,1001,1003,8002,3007,4003,4002,6001
8005,1001,1001,1001,20005,4002,20003,1004,1004,8004,1004,1004,6001,5001,6003,2003,20004,6001,20005,8005,4005,4005,4005,8002
5002,7002,20002,30001,3007,1001,1002,3007,2001,8004,1005,3006,5001,20005,30001,20004,20006,20003,1001,9001,5002,4003,6001,20005
9001,5001,5003,1001,1001,4003,20006,2002,8004,8003,1005,7002,2003,4005,6001,20005,3006,20006,8001,20005,5001,5003,1001,1005
3002,4001,20001,4005,1002,20002,1004,7002,1002,8005,20002,6001,30001,8004,9002,8001,8004,2003,8002,6002,8005,6002,1003,8001
3007,1001,1005,20005,20004,3003,8001,1003,2001,4005,5002,1003,20007,4003,20007,4003,6005,2004,3005,2001,1004,1004,4002,20001
5003,8001,6001,1005,1001,4005,20002,4005,0,8005,20005,20007,8004,3005,30001,20004,4002,20001,1005,4005,5003,6001,5003,9001
8002,9001,1001,5001,1004,1001,1004,9001,3002,20006,8001,20002,9002,6005,20006,6003,1004,6002,4005,1002,8002,6001,6002,3003
20003,5002,8003,4001,8005,1001,8005,8005,9002,6001,3001,8004,2001,5002,6004,6002,5001,5001,3002,4003,20007,2001,2002,3007
20005,1001,7002,3007,3003,4005,9002,1002,9002,5003,20002,20002,9002,7002,20001,7003,7001,2003,3005,9001,8002,3004,1003,5002
2001,20002,3005,20003,1005,3001,1005,2002,3006,20004,3005,20006,6003,1003,9001,2001,6002,6001,2001,7002,6001,3003,3007,3006
20004,4004,6002,2001,9001,1003,1004,20007,8003,30001,3003,3003,1004,20003,2003,20004,20007,9003,20006,3007,4001,4004,8002,3004
4005,5001,3004,6001,5002,3003,20005,2002,5003,20006,20004,20004,6001,20002,7002,20006,2004,1003,8002,30001,4003,5001,8005,30001
8004,3003,20006,20003,9001,30001,20007,8001,1004,30001,20003,20001,20006,8004,8003,5002,2002,20003,6001,2001,2001,6001,9001,3006
2002,1003,3004,5001,3006,4003,20001,8003,20005,20006,20006,1004,0,20002,2001,9004,20007,4003,6002,2001,8004,8004,5003,1003
